Player Name,Credit
Faf du Plessis,9
Abhishek Porel,8
Shaik Rasheed Rizvi,8
KL Rahul,9
Axar Patel,9
Tom Stubbs,8.5
Abhishek Sharma,8
Vishnu Nigam,8.5
T Natarajan,8.5
Kamlesh Khejroliya,8.5
Shubman Gill,9.5
Jos Buttler,9.5
Sam Rutherford,8.5
Sandeep Khan,8
Rahul Tewatia,8
Rashid Khan,9
Avesh Khan,8
Kagiso Rabada,8.5
Ishan Kishan,8.5
Mohammed Siraj,8.5
Prasidh Krishna,9
Mohammad Rahman,8
Dushmantha Chameera,8
Shivam Dube,8
Karun Nair,8.5
T Vijay,8
Manish Tiwary,8
Mitchell Starc,9
Sai Sudharsan,9
Washington Sundar,8.5
Mukesh Lomror,8
Akash Rawat,8
Dasun Shanaka,8.5
Ishant Sharma,8.5
Mayank Kumar,8.5
Josh Fraser-McGurk,8.5
Manish Sharma,8.5
Dwaine Ferreira,8
Dhruv Nalkande,8
Akash Mandal,8
Manish Kumar L,8
Kusal Mendis,8
George Coetzee,8.5
Kamlesh Khejroliya,8
Karim Janat,8
Jayant Yadav,8
Gurinder Brar Singh,8
Kushagra Singh,8
Mayank Suthar,8
Harshad Pandhu,8
