PlayerKey,TotalRuns_Bat,Dotballs_Bat,DBFreq_Bat,BdryFreq_Bat,Fours_Bat,Sixes_Bat,Outs_Bat,FiftyPlusRuns_Bat,Centuries_Bat,BattingAverage,Catches,Stumpings,TotalRunsConceded,BowlingSR,BoundaryPercentage,BoundaryFrequency,OversBowled,Fours,Sixes,Credit_Point,Role,Speciality,Matches,TeamCode,SRRI,BRRI
abishekporel,301.0,60.0,3.41,5.12,28.0,12.0,12.0,1.0,0.0,25.08,3.0,0.0,,,,,,,,7.5,WK,,13.0,DC,508.02857174159254,
arshdeepsingh,2.0,4.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,2.00,1.0,0.0,351.0,15.12,67.8,4.48,40.2,43.0,11.0,9.0,BOWL,Left-arm medium fast,12.0,PBKS,44.07397649113064,10.339593714066693
ashutoshsharma,204.0,38.0,3.34,4.7,14.0,13.0,7.0,1.0,0.0,29.14,2.0,0.0,,,,,,,,7.0,BAT,,12.0,DC,499.11089276233474,
axarpatel,263.0,55.0,3.03,4.39,23.0,15.0,10.0,0.0,0.0,26.30,4.0,0.0,288.0,40.8,61.11,5.51,34.0,23.0,14.0,8.5,AR,Slow left-arm orthodox,12.0,DC,520.4077897032498,2.9032258064516125
azmatullahomarzai,37.0,12.0,2.0,3.42,5.0,2.0,1.0,0.0,0.0,37.00,0.0,0.0,145.0,16.8,60.68,4.66,14.0,10.0,8.0,6.5,Right-arm medium fast,,5.0,PBKS,289.07194477288715,8.35798184730379
donovanferreira,1.0,2.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,1.00,0.0,0.0,,,,,,,,6.0,WK,,1.0,DC,30.102999566398115,
dushmanthachameera,10.0,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,-,1.0,0.0,171.0,22.5,63.15,4.09,15.0,12.0,10.0,6.5,BOWL,Right-arm fast,6.0,DC,127.01080359883169,5.091529315293153
fafduplessis,179.0,59.0,2.5,6.43,16.0,7.0,8.0,2.0,0.0,22.38,3.0,0.0,,,,,,,,7.5,BAT,,8.0,DC,378.2498319158352,
harpreetbrar,,,,,,,,,,,,,95.0,10.28,63.15,5.53,12.0,9.0,4.0,6.0,BOWL,Slow left-arm orthodox,5.0,PBKS,0.0,12.85188385758728
jakefraser-mcgurk,55.0,31.0,1.67,5.77,7.0,2.0,6.0,0.0,0.0,9.17,3.0,0.0,,,,,,,,7.0,BAT,,6.0,DC,271.7607019785145,
joshinglis,92.0,26.0,2.53,5.07,8.0,5.0,4.0,0.0,0.0,23.00,5.0,1.0,,,,,,,,7.0,WK,,6.0,PBKS,372.34530534816315,
karunnair,154.0,34.0,2.58,3.25,19.0,8.0,7.0,1.0,0.0,22.00,2.0,0.0,,,,,,,,7.5,BAT,,7.0,DC,499.1839988864499,
klrahul,504.0,96.0,3.53,5.13,46.0,20.0,9.0,3.0,1.0,56.00,3.0,0.0,,,,,,,,9.0,WK,,12.0,DC,541.9742842926083,
kuldeepyadav,18.0,6.0,2.66,8.0,2.0,0.0,3.0,0.0,0.0,6.00,0.0,0.0,322.0,21.69,44.72,9.09,47.0,21.0,10.0,8.5,BOWL,Left-arm wrist spin,13.0,DC,225.96751932321573,7.36627579208479
