BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsRuns,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,ClientPlayerID
Prasidh Krishna,true,Indian,GT,Gujarat Titans,11,203,11,35,2019-100mb00000000150-3a51ee2844a911,258,329,112,43.41,153,16.45,12.90,12.90,62.00,5.73,7.65,43.0,86,14,1,33,12,7,0,0,6,20,41,4,41,4,41/4,41/4,0,0,1,0,0,5105
Noor Ahmad,true,Overseas,CSK,Chennai Super Kings,12,203,12,13,2022-100mb00000000975-56f6385ba44611,258,345,91,35.27,177,17.25,12.90,12.90,56.23,6.29,8.02,43.0,115,15,0,26,15,8,2,4,3,20,18,4,18,4,18/4,18/4,0,0,2,0,0,20590
Josh Hazlewood,false,Overseas,RCB,Royal Challengers Bengaluru,10,203,10,19,2018-100mb00000000036-2af54408f88a11,221,311,103,46.60,122,17.27,12.27,12.27,74.59,4.42,8.44,36.5,61,7,0,34,16,4,0,0,2,18,33,4,33,4,33/4,33/4,0,0,1,0,0,857
Trent Boult,true,Overseas,MI,Mumbai Indians,12,203,12,17,2019-100mb00000000066-573f78a31e3711,253,358,97,38.33,165,19.88,14.05,14.05,62.01,5.27,8.49,42.1,91,18,0,33,15,9,0,0,2,18,26,4,26,4,26/4,26/4,0,0,1,0,0,969
Varun Chakaravarthy,true,Indian,KKR,Kolkata Knight Riders,12,203,12,16,2019-100mb00000000140-a41b85f2449d11,282,329,115,40.78,172,19.35,16.58,16.58,55.31,7.05,7.00,47.0,110,18,0,29,11,5,0,6,1,17,22,3,22,3,22/3,22/3,0,0,0,0,0,5432
Arshdeep Singh,false,Indian,PBKS,Punjab Kings,11,203,10,15,2019-100mb00000000125-2485f88b449911,218,291,96,44.03,134,18.18,13.62,13.62,63.91,5.06,8.00,36.2,67,11,1,36,7,12,0,0,5,16,16,3,16,3,16/3,16/3,1,1,0,0,0,4698
Vaibhav Arora,true,Indian,KKR,Kolkata Knight Riders,11,203,11,16,2021-100mb00000000583-8f4c0c4491dd11,231,391,84,36.36,160,24.43,14.43,14.43,70.58,3.85,10.15,38.3,73,13,1,42,18,13,0,0,0,16,29,3,29,3,29/3,29/3,1,1,0,0,0,14859
Mohammed Siraj,true,Indian,GT,Gujarat Titans,11,203,11,35,2019-100mb00000000063-d9aa7a01187311,246,369,114,46.34,151,24.60,16.40,16.40,72.62,4.16,9.00,41.0,65,10,0,43,16,19,0,0,13,15,17,4,17,4,17/4,17/4,0,0,1,0,0,3840
Harshit Rana,true,Indian,KKR,Kolkata Knight Riders,12,203,12,16,2022-100mb00000001013-30676520bcc011,246,408,100,40.65,158,27.20,16.40,16.40,73.03,3.84,9.95,41.0,70,14,0,43,21,10,2,1,3,15,25,3,25,3,25/3,25/3,0,0,0,0,0,20626
Sai Kishore,false,Indian,GT,Gujarat Titans,11,203,11,35,2020-100mb00000000544-980117aa639c11,177,247,55,31.07,129,17.64,12.64,12.64,53.44,6.80,8.37,29.3,85,10,1,12,14,7,0,0,2,14,30,3,30,3,30/3,30/3,0,0,0,0,0,7123
Krunal Pandya,false,Indian,RCB,Royal Challengers Bengaluru,11,203,11,19,2018-100mb00000000017-5e389774e99c11,210,300,60,28.57,156,21.42,15.00,15.00,55.33,6.00,8.57,35.0,104,11,0,22,13,6,0,0,1,14,45,4,45,4,45/4,45/4,0,0,1,0,0,3183
Harshal Patel,true,Indian,SRH,Sunrisers Hyderabad,10,203,10,20,2019-100mb00000000114-8c98068c449611,204,321,61,29.90,158,22.92,14.57,14.57,59.81,4.85,9.44,34.0,92,11,0,30,12,14,1,2,2,14,28,4,28,4,28/4,28/4,0,0,2,0,0,157
Khaleel Ahmed,true,Indian,CSK,Chennai Super Kings,12,203,12,13,2018-100mb00000000008-787fc4ece99b11,244,395,119,48.77,134,28.21,17.42,17.42,78.98,3.69,9.71,40.4,46,14,0,42,24,6,3,1,5,14,29,3,29,3,29/3,29/3,0,0,0,0,0,2964
Yuzvendra Chahal,true,Indian,PBKS,Punjab Kings,11,203,10,15,2018-100mb00000000010-b76159ade99b11,198,324,55,27.77,150,23.14,14.14,14.14,61.11,4.95,9.81,33.0,93,9,1,21,19,7,0,0,1,14,28,4,28,4,28/4,28/4,0,0,2,0,0,111
Mitchell Starc,false,Overseas,DC,Delhi Capitals,11,203,10,14,2018-100mb00000000031-b334eaf6f08611,216,366,85,39.35,142,26.14,15.42,15.42,75.40,3.48,10.16,36.0,67,10,0,48,14,8,3,0,13,14,35,5,35,5,35/5,35/5,0,0,0,1,0,490
Jasprit Bumrah,true,Indian,MI,Mumbai Indians,8,203,8,17,2018-100mb00000000009-92bfdfe9e99b11,192,214,84,43.75,112,16.46,14.76,14.76,56.07,7.38,6.68,32.0,72,11,0,18,8,4,0,0,4,13,22,4,22,4,22/4,22/4,0,0,1,0,0,1124
Pat Cummins,true,Overseas,SRH,Sunrisers Hyderabad,11,203,11,20,2018-100mb00000000033-d93110bbf88911,238,363,92,38.65,156,27.92,18.30,18.30,66.11,4.66,9.15,39.4,80,15,1,33,18,9,1,0,4,13,19,3,19,3,19/3,19/3,0,0,0,0,0,488
Hardik Pandya,true,Indian,MI,Mumbai Indians,11,203,11,17,2018-100mb00000000054-e3ebefa2050a11,168,257,59,35.11,127,19.76,12.92,12.92,59.92,5.25,9.17,28.0,69,8,0,19,13,15,3,1,2,13,36,5,36,5,36/5,36/5,0,0,0,1,0,2740
Kuldeep Yadav,false,Indian,DC,Delhi Capitals,11,203,10,14,2018-100mb00000000014-227bc550e99c11,234,263,87,37.17,149,21.91,19.50,19.50,47.14,8.66,6.74,39.0,103,17,0,19,8,2,0,0,1,12,22,3,22,3,22/3,22/3,0,0,0,0,0,261
Digvesh Singh,true,Indian,LSG,Lucknow Super Giants,11,203,11,77,2024-100mb00000003565-6cf0c233abda11,264,356,85,32.19,186,29.66,22.00,22.00,56.17,6.00,8.09,44.0,124,13,1,32,12,6,1,1,5,12,30,2,30,2,30/2,30/2,0,0,0,0,0,5847
Bhuvneshwar Kumar,true,Indian,RCB,Royal Challengers Bengaluru,10,203,10,19,2018-100mb00000000015-3501d442e99c11,228,339,92,40.35,141,28.25,19.00,19.00,70.20,4.47,8.92,38.0,74,11,0,34,17,5,0,0,4,12,33,3,33,3,33/3,33/3,0,0,0,0,0,116
Matheesha Pathirana,true,Overseas,CSK,Chennai Super Kings,10,203,10,13,2022-100mb00000001014-1f0cfb3dc17911,220,373,70,31.81,180,31.08,18.33,18.33,57.90,5.11,10.17,36.4,92,14,1,21,22,29,1,1,5,12,36,3,36,3,36/3,36/3,0,0,0,0,0,20627
Shardul Thakur,true,Indian,LSG,Lucknow Super Giants,9,203,9,77,2019-100mb00000000105-4c526de743fe11,180,336,58,32.22,144,28.00,15.00,15.00,69.64,3.60,11.20,30.0,66,7,0,33,17,21,1,0,1,12,34,4,34,4,34/4,34/4,0,0,1,0,0,1745
