PlayerID,MatchPlayingOrder,BowlerName,OutDesc,ShortOutDesc,Runs,Balls,DotBalls,DotBallPercentage_Bat,DotBallFrequency_Bat,Fours_Bat,Sixes_Bat,BoundaryPercentage_Bat,BoundaryFrequency_Bat,StrikeRate_Bat,AgainstFast_Bat,AgainstSpin_Bat,PlayerShortName,Overs,Runs_bat,Wickets,Economy_bowl,BowlingOrder,TotalLegalBallsBowled,ScoringBalls,DotBalls_bowl,DBPercent _bowl,DBFrequency,Fours_bowl,Sixes_bowl,BdryPercent_bowl,BdryFreq_bowl,StrikeRate,FourPercent_bowl,SixPercent_bowl,MatchID,InningsNo,TeamID,PlayerName
2018-100mb00000000006-2cf4bba8e99b11,11,Mustafizur Rahman,c Abishek Porel b Mustafizur Rahman,c Abishek Porel b Mustafizur Rahman,5,5,3,60.00,1.67,1,0,80.00,5.00,100.00,5,0,,,,,,,,,,,,,,,,,,,1861,1,17,Rohit Sharma  (RP)
2018-100mb00000000009-92bfdfe9e99b11,11,,,,0,0,0,,,0,0,,,-,0,0,Jasprit Bumrah,3.2,12.0,3.0,3.6,5.0,20.0,8.0,12.0,60.00,1.67,1.0,0.0,33.33,20.00,6.67,33.33,0.00,1861,1,17,Jasprit Bumrah 
2018-100mb00000000014-227bc550e99c11,9,Karn Sharma,c (Sub) Raj Angad Bawa b Karn Sharma,c (Sub) Raj Angad Bawa b Karn Sharma,7,8,3,37.50,2.67,0,0,0.00,,87.50,4,4,Kuldeep Yadav,4.0,22.0,1.0,5.5,5.0,24.0,16.0,9.0,37.50,2.67,1.0,0.0,18.18,24.00,24.00,18.18,0.00,1861,2,14,Kuldeep Yadav 
2018-100mb00000000019-80e59e32e99c11,11,Trent Boult,c Ryan Rickelton b Trent Boult,c Ryan Rickelton b Trent Boult,11,6,1,16.67,6.00,2,0,72.73,3.00,183.33,6,0,,,,,,,,,,,,,,,,,,,1861,2,14,K L Rahul  (IP)
2018-100mb00000000054-e3ebefa2050a11,1,Dushmantha Chameera,c Mukesh Kumar b Dushmantha Chameera,c Mukesh Kumar b Dushmantha Chameera,3,6,3,50.00,2.00,0,0,0.00,,50.00,2,4,,,,,,,,,,,,,,,,,,,1861,1,17,Hardik Pandya (c)
2019-100mb00000000066-573f78a31e3711,10,,,,0,0,0,,,0,0,,,-,0,0,Trent Boult,4.0,29.0,1.0,7.25,1.0,24.0,16.0,8.0,33.33,3.00,4.0,0.0,55.17,6.00,24.00,55.17,0.00,1861,1,17,Trent Boult 
2019-100mb00000000075-0984e17e1e4011,8,,,,0,0,0,,,0,0,,,-,0,0,Mitchell Santner,4.0,11.0,3.0,2.75,4.0,24.0,8.0,16.0,66.67,1.50,1.0,0.0,36.36,24.00,8.00,36.36,0.00,1861,1,17,Mitchell Santner 
2019-100mb00000000091-8640595343ec11,9,,,,0,0,0,,,0,0,,,-,0,0,Deepak Chahar,3.0,22.0,1.0,7.33,2.0,18.0,10.0,8.0,44.44,2.25,3.0,0.0,54.55,6.00,18.00,54.55,0.00,1861,1,17,Deepak Chahar 
2019-100mb00000000094-1e8fa14543ee11,1,Deepak Chahar,c Mitchell Santner b Deepak Chahar,c Mitchell Santner b Deepak Chahar,6,7,4,57.14,1.75,1,0,66.67,7.00,85.71,7,0,,,,,,,,,,,,,,,,,,,1861,2,14,Faf Du Plessis (c)
2019-100mb00000000098-7a8c366b43f611,2,,,,0,0,0,,,0,0,,,-,0,0,Karn Sharma,3.0,31.0,1.0,10.33,6.0,18.0,14.0,4.0,22.22,4.50,2.0,2.0,64.52,4.50,18.00,25.81,38.71,1861,1,17,Karn Sharma  (IP)
2019-100mb00000000174-619a804244af11,5,,not out,not out,73,43,12,27.91,3.58,7,4,71.23,3.91,169.77,29,14,,,,,,,,,,,,,,,,,,,1861,1,17,Surya Kumar Yadav 
2019-100mb00000000258-e46e7f697acb11,10,Jasprit Bumrah,b Jasprit Bumrah,b Jasprit Bumrah,0,1,1,100.00,1.00,0,0,,,0.00,1,0,Mustafizur Rahman,4.0,30.0,1.0,7.5,3.0,24.0,14.0,10.0,41.67,2.40,2.0,2.0,66.67,6.00,24.00,26.67,40.00,1861,2,14,Mustafizur Rahman 
2021-100mb00000000608-14fdf8c4e64711,6,,not out,not out,8,10,2,20.00,5.00,0,0,0.00,,80.00,7,3,Dushmantha Chameera,4.0,54.0,1.0,13.5,2.0,24.0,18.0,6.0,25.00,4.00,3.0,5.0,77.78,3.00,24.00,22.22,55.56,1861,2,14,Dushmantha Chameera 
2021-100mb00000000743-056fd8cd648611,3,Kuldeep Yadav,c Madhav Tiwari b Kuldeep Yadav,c Madhav Tiwari b Kuldeep Yadav,25,18,5,27.78,3.60,0,2,48.00,9.00,138.89,14,4,,,,,,,,,,,,,,,,,,,1861,1,17,Ryan Rickelton (wk)
2022-100mb00000000993-60c58f9ea44c11,6,Mukesh Kumar,c Sameer Rizvi b Mukesh Kumar,c Sameer Rizvi b Mukesh Kumar,27,27,10,37.04,2.70,1,1,37.04,13.50,100.00,6,21,,,,,,,,,,,,,,,,,,,1861,1,17,N Tilak Varma 
2022-100mb00000001017-3e376712cc7911,5,Jasprit Bumrah,lbw Jasprit Bumrah,lbw Jasprit Bumrah,2,4,2,50.00,2.00,0,0,0.00,,50.00,2,2,,,,,,,,,,,,,,,,,,,1861,2,14,Tristan Stubbs 
