PlayerID,MatchPlayingOrder,BowlerName,OutDesc,ShortOutDesc,Runs,Balls,DotBalls,DotBallPercentage_Bat,DotBallFrequency_Bat,Fours_Bat,Sixes_Bat,BoundaryPercentage_Bat,BoundaryFrequency_Bat,StrikeRate_Bat,AgainstFast_Bat,AgainstSpin_Bat,PlayerShortName,Overs,Runs_bat,Wickets,Economy_bowl,BowlingOrder,TotalLegalBallsBowled,ScoringBalls,DotBalls_bowl,DBPercent _bowl,DBFrequency,Fours_bowl,Sixes_bowl,BdryPercent_bowl,BdryFreq_bowl,StrikeRate,FourPercent_bowl,SixPercent_bowl,MatchID,InningsNo,TeamID,PlayerName
2018-100mb00000000010-b76159ade99b11,11,,,,0,0,0,,,0,0,,,-,0,0,Yuzvendra Chahal,4.0,30.0,0.0,7.5,5.0,24.0,16.0,8.0,33.33,3.00,1.0,2.0,53.33,8.00,0,13.33,40.00,1857,1,15,Yuzvendra Chahal 
2018-100mb00000000012-ea4c47d2e99b11,11,Riyan Parag,c Yashasvi Jaiswal b Riyan Parag,c Yashasvi Jaiswal b Riyan Parag,30,25,11,44.00,2.27,5,0,66.67,5.00,120.00,16,9,,,,,,,,,,,,,,,,,,,1857,1,15,Shreyas Iyer  (RP)
2019-100mb00000000125-2485f88b449911,10,,,,0,0,0,,,0,0,,,-,0,0,Arshdeep Singh,4.0,60.0,0.0,15.0,1.0,24.0,16.0,9.0,37.50,2.67,7.0,4.0,86.67,2.18,0,46.67,40.00,1857,1,15,Arshdeep Singh 
2019-100mb00000000130-89338eb7449a11,1,,,,0,0,0,,,0,0,,,-,0,0,Harpreet Brar,4.0,22.0,3.0,5.5,4.0,24.0,15.0,9.0,37.50,2.67,2.0,0.0,36.36,12.00,8.00,36.36,0.00,1857,1,15,Harpreet Brar  (IP)
2019-100mb00000000137-d774e3d1449c11,2,Tushar Deshpande,c Sanju Samson b Tushar Deshpande,c Sanju Samson b Tushar Deshpande,21,10,3,30.00,3.33,3,1,85.71,2.50,210.00,10,0,,,,,,,,,,,,,,,,,,,1857,1,15,Prabhsimran Singh (wk)
2019-100mb00000000189-ac8c327a44b711,4,Harpreet Brar,b Harpreet Brar,b Harpreet Brar,13,11,4,36.36,2.75,0,1,46.15,11.00,118.18,3,8,Riyan Parag,3.0,26.0,1.0,8.67,4.0,18.0,15.0,5.0,27.78,3.60,2.0,1.0,53.85,6.00,18.00,30.77,23.08,1857,2,18,Riyan Parag 
2019-100mb00000000190-c62cbae544b711,1,Azmatullah Omarzai,c Marco Jansen b Azmatullah Omarzai,c Marco Jansen b Azmatullah Omarzai,20,16,6,37.50,2.67,1,1,50.00,8.00,125.00,5,11,,,,,,,,,,,,,,,,,,,1857,2,18,Sanju Samson (c)(wk)
2019-100mb00000000191-df21803b44b711,4,,not out,not out,59,30,5,16.67,6.00,5,3,64.41,3.75,196.67,22,8,,,,,,,,,,,,,,,,,,,1857,1,15,Shashank Singh 
2019-100mb00000000210-b8addb3444bb11,5,Azmatullah Omarzai,c Xavier Bartlett b Azmatullah Omarzai,c Xavier Bartlett b Azmatullah Omarzai,11,12,5,41.67,2.40,1,0,36.36,12.00,91.67,9,3,,,,,,,,,,,,,,,,,,,1857,2,18,Shimron Hetmyer 
2020-100mb00000000377-c8cec37e2dec11,7,Marco Jansen,c Prabhsimran Singh b Marco Jansen,c Prabhsimran Singh b Marco Jansen,0,1,1,100.00,1.00,0,0,,,0.00,1,0,Wanindu Hasaranga,3.0,33.0,0.0,11.0,5.0,18.0,14.0,4.0,22.22,4.50,2.0,2.0,60.61,4.50,0,24.24,36.36,1857,2,18,Wanindu Hasaranga 
2020-100mb00000000533-e895f279639811,2,Harpreet Brar,c Mitch Owen b Harpreet Brar,c Mitch Owen b Harpreet Brar,50,25,7,28.00,3.57,9,1,84.00,2.50,200.00,15,10,,,,,,,,,,,,,,,,,,,1857,2,18,Yashasvi Jaiswal 
2020-100mb00000000539-04833b65639b11,9,,,,0,0,0,,,0,0,,,-,0,0,Tushar Deshpande,4.0,37.0,2.0,9.25,2.0,24.0,16.0,9.0,37.50,2.67,4.0,1.0,59.46,4.80,12.00,43.24,16.22,1857,2,18,Tushar Deshpande 
2021-100mb00000000586-8238f85f91de11,8,,,,0,0,0,,,0,0,,,-,0,0,Marco Jansen,3.0,41.0,2.0,13.67,2.0,18.0,13.0,7.0,38.89,2.57,6.0,2.0,87.80,2.25,9.00,58.54,29.27,1857,1,15,Marco Jansen 
2022-100mb00000001004-da6e207ea44e11,6,Marco Jansen,c Mitch Owen b Marco Jansen,c Mitch Owen b Marco Jansen,53,31,10,32.26,3.10,3,4,67.92,4.43,170.97,18,13,,,,,,,,,,,,,,,,,,,1857,2,18,Dhruv Jurel 
2022-100mb00000001011-d957ea18a45111,11,,,,0,0,0,,,0,0,,,-,0,0,Fazalhaq Farooqi,3.0,39.0,0.0,13.0,1.0,18.0,15.0,3.0,16.67,6.00,4.0,2.0,71.79,3.00,0,41.03,30.77,1857,2,18,Fazalhaq Farooqi  (RP)
2022-100mb00000001045-ff63138dd51a11,10,,,,0,0,0,,,0,0,,,-,0,0,Akash Madhwal,4.0,48.0,1.0,12.0,6.0,24.0,20.0,6.0,25.00,4.00,6.0,2.0,75.00,3.00,24.00,50.00,25.00,1857,2,18,Akash Madhwal 
2022-100mb00000001354-5a766b041e0411,7,,not out,not out,21,9,2,22.22,4.50,3,1,85.71,2.25,233.33,9,0,Azmatullah Omarzai,4.0,44.0,2.0,11.0,6.0,24.0,18.0,6.0,25.00,4.00,2.0,3.0,59.09,4.80,12.00,18.18,40.91,1857,1,15,Azmatullah Omarzai 
2022-100mb00000001541-e0ad58e954e911,5,Akash Madhwal,c Shimron Hetmyer b Akash Madhwal,c Shimron Hetmyer b Akash Madhwal,70,37,10,27.03,3.70,5,5,71.43,3.70,189.19,18,19,,,,,,,,,,,,,,,,,,,1857,1,15,Nehal Wadhera 
20226e936a7872aa11ec8ab502ab46c,8,,not out,not out,8,2,0,0.00,,2,0,100.00,1.00,400.00,2,0,Kwena Maphaka,3.0,32.0,1.0,10.67,3.0,18.0,10.0,8.0,44.44,2.25,5.0,2.0,100.00,2.57,18.00,62.50,37.50,1857,2,18,Kwena Maphaka 
2024-100mb00000003112-76787b7ddf9f11,11,,not out,not out,7,7,2,28.57,3.50,0,0,0.00,,100.00,7,0,,,,,,,,,,,,,,,,,,,1857,2,18,Shubham Dubey  (IP)
2024-100mb00000003498-c9c3dc7da24b11,3,Harpreet Brar,c Xavier Bartlett b Harpreet Brar,c Xavier Bartlett b Harpreet Brar,40,15,7,46.67,2.14,4,4,100.00,1.88,266.67,12,3,,,,,,,,,,,,,,,,,,,1857,2,18,Vaibhav Suryavanshi 
2024-100mb00000003571-3dc322afabdd11,3,Tushar Deshpande,c Shimron Hetmyer b Tushar Deshpande,c Shimron Hetmyer b Tushar Deshpande,9,7,2,28.57,3.50,1,0,44.44,7.00,128.57,7,0,,,,,,,,,,,,,,,,,,,1857,1,15,Priyansh Arya 
2024-100mb00000003572-5731c9b6abdd11,9,,,,0,0,0,,,0,0,,,-,0,0,Xavier Bartlett,1.0,12.0,0.0,12.0,3.0,6.0,3.0,3.0,50.00,2.00,3.0,0.0,100.00,2.00,0,100.00,0.00,1857,1,15,Xavier Bartlett 
2025-100mb00000003870-3e47630528de11,6,Kwena Maphaka,c Sanju Samson b Kwena Maphaka,c Sanju Samson b Kwena Maphaka,0,2,2,100.00,1.00,0,0,,,0.00,2,0,,,,,,,,,,,,,,,,,,,1857,1,15,Mitch Owen 
