PlayerKey,TotalRuns_Bat,DBPercent_Bat,BdryPercent_Bat,Outs_Bat,FiftyPlusRuns_Bat,BattingAverage,Catches,Stumpings,RightHandedBat,PlayerId,TotalRunsConceded,BoundaryPercentage_Bowler,BoundaryFrequency,OversBowled,FourWickets,Credit_Point,Role,Speciality,Matches,TeamCode,SRRI,DBBI_Bat,BRRI,DBBI_Bowler
abishekporel,301.0,29.26,61.12,12.0,1.0,25.08,3.0,0.0,,,,,,,,7.5,WK,,13.0,DC,5.08,1.93,,
arshdeepsingh,2.0,66.66,0.0,1.0,0.0,2.00,1.0,0.0,False,2019-100mb00000000125-2485f88b449911,351.0,67.8,4.48,40.2,0.0,9.0,BOWL,Left-arm medium fast,12.0,PBKS,0.44,0.33,1.84,0.21
ashutoshsharma,204.0,29.92,65.68,7.0,1.0,29.14,2.0,0.0,,,,,,,,7.0,BAT,,12.0,DC,4.99,2.01,,
axarpatel,263.0,32.93,69.2,10.0,0.0,26.30,4.0,0.0,False,2019-100mb00000000110-79ae08f5449411,288.0,61.11,5.51,34.0,0.0,8.5,AR,Slow left-arm orthodox,12.0,DC,5.2,2.05,0.21,-0.3
azmatullahomarzai,37.0,50.0,86.48,1.0,0.0,37.00,0.0,0.0,True,2022-100mb00000001354-5a766b041e0411,145.0,60.68,4.66,14.0,0.0,6.5,Right-arm medium fast,,5.0,PBKS,2.89,2.23,1.02,0.13
donovanferreira,1.0,66.66,0.0,1.0,0.0,1.00,0.0,0.0,,,,,,,,6.0,WK,,1.0,DC,0.3,0.33,,
dushmanthachameera,10.0,28.57,0.0,0.0,0.0,-,1.0,0.0,True,2021-100mb00000000608-14fdf8c4e64711,171.0,63.15,4.09,15.0,0.0,6.5,BOWL,Right-arm fast,6.0,DC,1.27,0.71,0.37,-0.19
fafduplessis,179.0,39.86,59.21,8.0,2.0,22.38,3.0,0.0,,,,,,,,7.5,BAT,,8.0,DC,3.78,1.79,,
harpreetbrar,,,,,,,,,False,2019-100mb00000000130-89338eb7449a11,95.0,63.15,5.53,12.0,0.0,6.0,BOWL,Slow left-arm orthodox,5.0,PBKS,0.0,,2.71,0.61
jakefraser-mcgurk,55.0,59.61,72.72,6.0,0.0,9.17,3.0,0.0,,,,,,,,7.0,BAT,,6.0,DC,2.72,1.86,,
joshinglis,92.0,39.39,67.39,4.0,0.0,23.00,5.0,1.0,,,,,,,,7.0,WK,,6.0,PBKS,3.72,1.95,,
karunnair,154.0,38.63,80.51,7.0,1.0,22.00,2.0,0.0,,,,,,,,7.5,BAT,,7.0,DC,4.99,2.22,,
klrahul,504.0,28.31,60.31,9.0,3.0,56.00,3.0,0.0,,,,,,,,9.0,WK,,12.0,DC,5.42,1.92,,
