StrikerName,Matches,TeamCode,Innings_Bat,TotalRuns_Bat,Balls_Bat,StrikeRate_Bat,DBPercent_Bat,BdryPercent_Bat,Outs_Bat,FiftyPlusRuns_Bat,BattingAverage,Catches,Stumpings
Sai Sudharsan,13,GT,13,638,409,155.99,28.11,63.94,12,5,53.17,7,0
Shubman Gill,13,GT,13,636,406,156.65,26.10,60.06,11,6,57.82,7,0
Surya Kumar Yadav,13,MI,13,583,342,170.46,29.82,70.66,8,4,72.88,4,0
Mitchell Marsh,12,LSG,12,560,346,161.84,34.97,71.42,12,5,46.67,1,0
Yashasvi Jaiswal,14,RR,14,559,350,159.71,35.71,72.98,13,6,43.00,10,0
Virat Kohli,12,RCB,12,548,377,145.35,27.58,58.02,9,7,60.89,3,0
Jos Buttler,13,GT,12,533,323,165.01,27.55,66.04,8,5,66.63,7,2
Nicholas Pooran,13,LSG,13,511,257,198.83,33.85,81.40,11,5,46.45,8,0
K L Rahul,12,DC,12,504,339,148.67,28.31,60.31,9,3,56.00,3,0
Prabhsimran Singh,12,PBKS,12,458,267,171.53,32.20,74.67,12,4,38.17,2,1
Aiden Markram,13,LSG,13,445,299,148.82,33.44,63.82,13,5,34.23,7,0
Shreyas Iyer,12,PBKS,12,435,249,174.69,24.89,66.66,9,4,48.33,3,0
Abhishek Sharma,13,SRH,12,407,211,192.89,35.07,79.60,12,2,33.92,7,0
Riyan Parag,14,RR,14,393,236,166.52,31.35,68.70,12,1,32.75,8,0
Heinrich Klaasen,12,SRH,12,382,243,157.20,24.69,61.78,11,1,34.73,7,0
Ajinkya Rahane,12,KKR,11,375,256,146.48,37.50,67.20,10,3,37.50,5,0
Ryan Rickelton,13,MI,13,361,237,152.32,40.92,74.79,12,3,30.08,11,5
Priyansh Arya,12,PBKS,12,356,187,190.37,35.29,79.77,12,1,29.67,4,0
Shivam Dube,13,CSK,13,340,262,129.77,35.49,59.41,10,1,34.00,2,0
Dhruv Jurel,14,RR,13,333,213,156.33,31.92,66.06,9,2,37.00,7,0
Ayush Badoni,13,LSG,11,329,222,148.19,29.27,58.35,10,2,32.90,3,0
Ishan Kishan,13,SRH,12,325,212,153.30,28.30,61.53,9,1,36.11,8,0
Rohit Sharma,12,MI,12,305,202,150.99,39.10,71.47,11,3,27.73,1,0
Phil Salt,10,RCB,10,301,174,172.98,40.22,81.06,10,3,30.10,8,0
Abishek Porel,13,DC,13,301,205,146.82,29.26,61.12,12,1,25.08,3,0
Travis Head,12,SRH,11,298,190,156.84,40.00,77.18,11,2,27.09,3,0
Angkrish Raghuvanshi,11,KKR,10,286,197,145.17,26.39,57.34,8,1,35.75,2,0
