BowlerName,RightHandedBat,TeamCode,Matches,Innings_Bowler,PlayerId,TotalRunsConceded,DotBallPercent_Bowler,BowlingAverage,StrikeRate_Bowler,BoundaryPercentage_Bowler,BoundaryFrequency,EconomyRate,OversBowled,Wickets_Bowler,FourWickets
Prasidh Krishna,true,GT,13,13,2019-100mb00000000150-3a51ee2844a911,413,40.52,19.66,14.57,62.46,5.46,8.09,51.0,21,1
Noor Ahmad,true,CSK,13,13,2022-100mb00000000975-56f6385ba44611,387,34.42,18.42,13.14,57.36,5.87,8.41,46.0,21,2
Trent Boult,true,MI,13,13,2019-100mb00000000066-573f78a31e3711,387,37.90,20.36,14.57,61.49,5.32,8.38,46.1,19,1
Josh Hazlewood,false,RCB,10,10,2018-100mb00000000036-2af54408f88a11,311,46.60,17.27,12.27,74.59,4.42,8.44,36.5,18,1
Varun Chakaravarthy,true,KKR,12,12,2019-100mb00000000140-a41b85f2449d11,329,40.78,19.35,16.58,55.31,7.05,7.00,47.0,17,0
Jasprit Bumrah,true,MI,9,9,2018-100mb00000000009-92bfdfe9e99b11,226,45.28,14.12,13.25,54.86,7.85,6.39,35.2,16,1
Arshdeep Singh,false,PBKS,12,11,2019-100mb00000000125-2485f88b449911,351,43.38,21.93,15.12,67.80,4.48,8.70,40.2,16,0
Pat Cummins,true,SRH,13,13,2018-100mb00000000033-d93110bbf88911,425,39.16,26.56,17.87,65.88,4.76,8.91,47.4,16,0
Sai Kishore,false,GT,13,13,2020-100mb00000000544-980117aa639c11,328,31.05,20.50,13.68,59.14,5.76,8.98,36.3,16,0
Harshal Patel,true,SRH,12,12,2019-100mb00000000114-8c98068c449611,409,31.87,25.56,15.68,62.10,4.48,9.77,41.5,16,2
Vaibhav Arora,true,KKR,11,11,2021-100mb00000000583-8f4c0c4491dd11,391,36.36,24.43,14.43,70.58,3.85,10.15,38.3,16,0
Krunal Pandya,false,RCB,12,12,2018-100mb00000000017-5e389774e99c11,338,27.77,22.53,15.60,55.62,6.00,8.66,39.0,15,1
Mohammed Siraj,true,GT,13,13,2019-100mb00000000063-d9aa7a01187311,443,45.91,29.53,19.60,73.13,4.08,9.04,49.0,15,1
