Id,Player_Name,Team,Credit_Point,Role,Speciality,StrikerName,Matches,RightHandedBat,Nationality,TeamCode,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings
1,Yashasvi Jaiswal,RR,9.0,BAT,,Yashasvi Jaiswal,12.0,False,Indian,RR,12.0,19.0,473.0,306.0,110.0,154.57,35.94,2.78,4.3,70.61,2.41,196.0,112.0,12.0,1.0,46.0,25.0,11.0,1.0,473.0,5.0,0.0,0.0,75,43.00,8.0,0.0
2,Shivam Dube,CSK,8.0,BAT,,Shivam Dube,12.0,False,Indian,CSK,12.0,20.0,301.0,230.0,83.0,130.86,36.08,2.77,6.21,60.46,2.04,147.0,101.0,9.0,0.0,20.0,17.0,9.0,3.0,100.33,1.0,0.0,0.0,50,33.44,2.0,0.0
3,Vaibhav Suryavanshi,RR,7.5,BAT,,Vaibhav Suryavanshi,5.0,False,Indian,RR,5.0,6.0,155.0,74.0,30.0,209.45,40.54,2.46,2.84,87.74,3.52,44.0,17.0,1.0,0.0,10.0,16.0,5.0,0.0,,0.0,1.0,0.0,101,31.00,0.0,0.0
4,Ayush Mhatre,CSK,7.0,BAT,,Ayush Mhatre,5.0,True,Indian,CSK,5.0,3.0,163.0,90.0,26.0,181.11,28.88,3.46,3.33,74.84,2.54,64.0,33.0,4.0,0.0,20.0,7.0,5.0,0.0,,1.0,0.0,0.0,94,32.60,3.0,0.0
5,Shimron Hetmyer,CSK,7.0,BAT,,Shimron Hetmyer,12.0,False,Overseas,RR,11.0,14.0,216.0,147.0,44.0,146.93,29.93,3.34,5.88,55.55,2.09,103.0,60.0,18.0,0.0,15.0,10.0,10.0,1.0,216.0,1.0,0.0,0.0,52,21.60,10.0,0.0
6,Dewald Brevis,CSK,6.5,BAT,,Dewald Brevis,4.0,True,Overseas,CSK,4.0,3.0,126.0,77.0,24.0,163.63,31.16,3.2,4.81,65.07,2.37,53.0,30.0,7.0,0.0,7.0,9.0,4.0,0.0,,1.0,0.0,0.0,52,31.50,5.0,0.0
7,MS Dhoni,CSK,7.0,WK,,MS Dhoni,12.0,True,Indian,CSK,12.0,15.0,180.0,128.0,42.0,140.62,32.81,3.04,5.56,63.33,2.09,86.0,60.0,3.0,0.0,12.0,11.0,7.0,5.0,36.0,0.0,0.0,0.0,30*,25.71,5.0,5.0
8,Sanju Samson,RR,8.5,WK,,Sanju Samson,7.0,True,Indian,RR,7.0,6.0,224.0,156.0,57.0,143.58,36.53,2.73,4.72,67.85,2.26,99.0,61.0,4.0,1.0,23.0,10.0,6.0,1.0,224.0,1.0,0.0,0.0,66,37.33,2.0,1.0
9,Dhruv Jurel,RR,8.0,WK,,Dhruv Jurel,12.0,True,Indian,RR,11.0,8.0,249.0,170.0,55.0,146.47,32.35,3.09,5.31,63.45,2.16,115.0,75.0,8.0,0.0,17.0,15.0,8.0,3.0,83.0,1.0,0.0,0.0,70,31.13,6.0,0.0
10,Devon Conway,CSK,6.5,WK,,Devon Conway,4.0,False,Overseas,CSK,4.0,13.0,94.0,76.0,26.0,123.68,34.21,2.92,6.9,51.06,1.88,50.0,32.0,7.0,0.0,9.0,2.0,4.0,0.0,,1.0,0.0,0.0,69,23.50,2.0,0.0
