PlayerKey,TotalRuns_Bat,Dotballs_Bat,DBFreq_Bat,BdryFreq_Bat,Fours_Bat,Sixes_Bat,Outs_Bat,FiftyPlusRuns_Bat,Centuries_Bat,BattingAverage,Catches,Stumpings,Innings_Bowler,TotalRunsConceded,DotBallPercent_Bowler,BowlingAverage,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Fours,Sixes,Wickets_Bowler,FourWickets,Credit_Point,Role,Speciality,Matches,TeamCode,SRRI
abhinavmanohar,49.0,24.0,2.08,10.0,2.0,3.0,4.0,0.0,0.0,12.25,4.0,0.0,,,,,,,,,,,,,,6.0,BAT,,6.0,SRH,235.8409376825276
abhisheksharma,373.0,66.0,2.93,3.12,39.0,23.0,11.0,2.0,1.0,33.91,6.0,0.0,,,,,,,,,,,,,,9.0,AR,Slow left-arm orthodox,12.0,SRH,647.7925334092698
aniketverma,198.0,49.0,2.59,4.88,10.0,16.0,8.0,1.0,0.0,24.75,5.0,0.0,,,,,,,,,,,,,,7.0,BAT,,12.0,SRH,490.88450838709167
bhuvneshwarkumar,10.0,14.0,1.5,21.0,1.0,0.0,1.0,0.0,0.0,10.00,2.0,0.0,10.0,339.0,40.35,28.25,19.0,70.2,4.47,8.92,38.0,34.0,17.0,12.0,0.0,8.0,BOWL,Right-arm medium fast,10.0,RCB,97.20917548372499
eshanmalinga,,,,,,,,,,,,,5.0,170.0,31.57,21.25,14.25,64.7,4.56,8.94,19.0,20.0,5.0,8.0,0.0,7.0,BOWL,Right-arm fast medium,5.0,SRH,0.0
harshalpatel,21.0,7.0,3.71,0.0,0.0,0.0,2.0,0.0,0.0,10.50,2.0,0.0,11.0,370.0,31.14,24.66,15.2,61.62,4.56,9.73,38.0,36.0,14.0,15.0,2.0,8.5,BOWL,Right-arm medium,11.0,SRH,172.0654197630582
harshdubey,,,,,,,,,,,,,1.0,44.0,20.83,44.0,24.0,68.18,4.0,11.0,4.0,3.0,3.0,1.0,0.0,5.0,AR,Slow left-arm orthodox,1.0,SRH,0.0
heinrichklaasen,358.0,55.0,4.18,4.89,33.0,14.0,10.0,1.0,0.0,35.80,6.0,0.0,,,,,,,,,,,,,,9.0,WK,,12.0,SRH,535.8782499506249
ishankishan,231.0,54.0,3.03,5.29,22.0,9.0,9.0,0.0,1.0,25.67,7.0,0.0,,,,,,,,,,,,,,7.5,WK,,12.0,SRH,464.3473530185449
jacobbethell,67.0,14.0,2.78,3.25,9.0,3.0,2.0,1.0,0.0,33.50,1.0,0.0,,,,,,,,,,,,,,6.5,BAT,,2.0,RCB,357.1926756030535
jaydevunadkat,,,,,,,,,,,,,5.0,110.0,36.84,15.71,13.57,52.72,7.3,6.94,15.5,10.0,3.0,7.0,0.0,6.5,BOWL,Left-arm medium,5.0,SRH,0.0
jiteshsharma,128.0,39.0,2.3,4.5,13.0,7.0,5.0,0.0,0.0,25.60,14.0,1.0,,,,,,,,,,,,,,7.5,WK,,11.0,RCB,414.3337104725929
krunalpandya,97.0,28.0,2.67,6.81,7.0,4.0,4.0,1.0,0.0,24.25,3.0,0.0,11.0,300.0,28.57,21.42,15.0,55.33,6.0,8.57,35.0,22.0,13.0,14.0,1.0,8.0,AR,Slow Left-arm orthodox,11.0,RCB,343.89278631793354
lungisaningidi,,,,,,,,,,,,,1.0,30.0,37.5,10.0,8.0,60.0,6.0,7.5,4.0,3.0,1.0,3.0,0.0,6.5,BOWL,Right-arm fast medium,1.0,RCB,0.0
manojbhandage,1.0,3.0,1.33,0.0,0.0,0.0,1.0,0.0,0.0,1.00,1.0,0.0,,,,,,,,,,,,,,6.0,AR,Right-arm medium fast,1.0,RCB,25.0
mohammadshami,10.0,4.0,2.5,10.0,1.0,0.0,1.0,0.0,0.0,10.00,2.0,0.0,9.0,337.0,33.33,56.16,30.0,77.74,3.15,11.23,30.0,40.0,17.0,6.0,0.0,7.5,BOWL,Right-arm fast,9.0,SRH,174.0362689494244
nitishkumarreddy,178.0,48.0,3.04,7.3,16.0,4.0,7.0,0.0,0.0,25.43,4.0,0.0,1.0,28.0,33.33,28.0,12.0,71.42,3.0,14.0,2.0,2.0,2.0,1.0,0.0,7.0,BAT,,11.0,SRH,391.19889283790366
patcummins,84.0,18.0,2.88,4.33,6.0,6.0,4.0,0.0,0.0,21.00,5.0,0.0,12.0,397.0,37.78,30.53,20.15,64.98,4.76,9.09,43.4,36.0,19.0,13.0,0.0,8.5,BOWL,Right-arm fast,12.0,SRH,432.6837381526338
philsalt,239.0,60.0,2.36,3.3,30.0,13.0,9.0,2.0,0.0,26.56,6.0,0.0,,,,,,,,,,,,,,8.5,WK,,9.0,RCB,531.0741640522182
rajatpatidar,239.0,54.0,3.14,5.48,21.0,10.0,10.0,2.0,0.0,23.90,2.0,0.0,,,,,,,,,,,,,,8.0,BAT,,11.0,RCB,460.3405424332591
romarioshepherd,53.0,3.0,4.66,1.4,4.0,6.0,0.0,1.0,0.0,-,2.0,0.0,3.0,51.0,25.0,51.0,24.0,74.5,3.0,12.75,4.0,5.0,3.0,1.0,0.0,7.0,AR,Right-arm fast medium,4.0,RCB,559.1959035724436
suyashsharma,,,,,,,,,,,,,10.0,322.0,34.18,80.5,58.5,60.24,5.57,8.25,39.0,29.0,13.0,4.0,0.0,6.5,BOWL,Leg break googly,10.0,RCB,0.0
timdavid,186.0,34.0,2.82,3.2,16.0,14.0,2.0,1.0,0.0,93.00,7.0,0.0,,,,,,,,,,,,,,7.5,BAT,,11.0,RCB,569.8215097179541
travishead,281.0,73.0,2.46,3.6,41.0,9.0,10.0,2.0,0.0,28.10,3.0,0.0,,,,,,,,,,,,,,8.5,BAT,,11.0,SRH,515.0216800376122
viratkohli,505.0,94.0,3.74,5.67,44.0,18.0,8.0,7.0,0.0,63.13,3.0,0.0,,,,,,,,,,,,,,9.0,BAT,,11.0,RCB,520.3445328053696
yashdayal,,,,,,,,,,,,,11.0,346.0,31.94,34.6,21.6,62.42,4.59,9.61,36.0,33.0,14.0,10.0,0.0,7.5,BOWL,Left-arm medium fast,11.0,RCB,0.0
zeeshanansari,,,,,,,,,,,,,10.0,333.0,23.64,55.5,33.83,59.45,4.95,9.84,33.5,24.0,17.0,6.0,0.0,6.5,BOWL,Left break googly,10.0,SRH,0.0
